unique_id,ds,horizon,group,model,y_pred
household_1,2010-11-26 22:00:00,1,ML,ridge_regression,0.7878896303070896
household_1,2010-11-26 23:00:00,2,ML,ridge_regression,0.6169358798051461
household_1,2010-11-27 00:00:00,3,ML,ridge_regression,0.5600627794998032
household_1,2010-11-27 01:00:00,4,ML,ridge_regression,0.520296253170343
household_1,2010-11-27 02:00:00,5,ML,ridge_regression,0.5173284530741187
household_1,2010-11-27 03:00:00,6,ML,ridge_regression,0.5188087938354867
household_1,2010-11-27 04:00:00,7,ML,ridge_regression,0.5077503187376764
household_1,2010-11-27 05:00:00,8,ML,ridge_regression,0.6447067817660093
household_1,2010-11-27 06:00:00,9,ML,ridge_regression,0.8993018674309808
household_1,2010-11-27 07:00:00,10,ML,ridge_regression,1.7390493039429482
household_1,2010-11-27 08:00:00,11,ML,ridge_regression,1.8811932362086576
household_1,2010-11-27 09:00:00,12,ML,ridge_regression,1.837849243730675
household_1,2010-11-27 10:00:00,13,ML,ridge_regression,1.6402320291183088
household_1,2010-11-27 11:00:00,14,ML,ridge_regression,1.7436803256261686
household_1,2010-11-27 12:00:00,15,ML,ridge_regression,1.6122703727162162
household_1,2010-11-27 13:00:00,16,ML,ridge_regression,1.5708362725356007
household_1,2010-11-27 14:00:00,17,ML,ridge_regression,1.5046834374955802
household_1,2010-11-27 15:00:00,18,ML,ridge_regression,1.4112315238513213
household_1,2010-11-27 16:00:00,19,ML,ridge_regression,1.3744833364165299
household_1,2010-11-27 17:00:00,20,ML,ridge_regression,1.5968407054462206
household_1,2010-11-27 18:00:00,21,ML,ridge_regression,2.274153324938139
household_1,2010-11-27 19:00:00,22,ML,ridge_regression,2.3163388394887297
household_1,2010-11-27 20:00:00,23,ML,ridge_regression,2.097102164888489
household_1,2010-11-27 21:00:00,24,ML,ridge_regression,1.8051292684382247
household_1,2010-11-26 22:00:00,1,ML,random_forest,0.8666994569360679
household_1,2010-11-26 23:00:00,2,ML,random_forest,0.6549367482218705
household_1,2010-11-27 00:00:00,3,ML,random_forest,0.4214844039370346
household_1,2010-11-27 01:00:00,4,ML,random_forest,0.4728090962568578
household_1,2010-11-27 02:00:00,5,ML,random_forest,0.5267086653865511
household_1,2010-11-27 03:00:00,6,ML,random_forest,0.45606537181631873
household_1,2010-11-27 04:00:00,7,ML,random_forest,0.4886902566485632
household_1,2010-11-27 05:00:00,8,ML,random_forest,0.5081703153347799
household_1,2010-11-27 06:00:00,9,ML,random_forest,0.8497566240960287
household_1,2010-11-27 07:00:00,10,ML,random_forest,2.281001195093165
household_1,2010-11-27 08:00:00,11,ML,random_forest,1.8923207377562485
household_1,2010-11-27 09:00:00,12,ML,random_forest,1.6840883517486218
household_1,2010-11-27 10:00:00,13,ML,random_forest,1.6381979578711012
household_1,2010-11-27 11:00:00,14,ML,random_forest,1.7014602236842342
household_1,2010-11-27 12:00:00,15,ML,random_forest,1.6019091529634673
household_1,2010-11-27 13:00:00,16,ML,random_forest,1.5335454084660503
household_1,2010-11-27 14:00:00,17,ML,random_forest,1.4389028303095255
household_1,2010-11-27 15:00:00,18,ML,random_forest,1.297564541711762
household_1,2010-11-27 16:00:00,19,ML,random_forest,1.1624506795468859
household_1,2010-11-27 17:00:00,20,ML,random_forest,1.4246524360846662
household_1,2010-11-27 18:00:00,21,ML,random_forest,1.7702742798686224
household_1,2010-11-27 19:00:00,22,ML,random_forest,2.201330909665397
household_1,2010-11-27 20:00:00,23,ML,random_forest,2.2651953810624565
household_1,2010-11-27 21:00:00,24,ML,random_forest,1.9300678602244827
household_1,2010-11-26 22:00:00,1,ML,hist_gradient_boosting,0.8181014881167644
household_1,2010-11-26 23:00:00,2,ML,hist_gradient_boosting,0.6494458244455861
household_1,2010-11-27 00:00:00,3,ML,hist_gradient_boosting,0.5187044948568195
household_1,2010-11-27 01:00:00,4,ML,hist_gradient_boosting,0.47747232378513554
household_1,2010-11-27 02:00:00,5,ML,hist_gradient_boosting,0.48992015943737593
