unique_id,ds,horizon,group,model,y_pred
household_1,2010-11-26 22:00:00,1,ML,ridge_regression,0.7878896303070881
household_1,2010-11-26 23:00:00,2,ML,ridge_regression,0.6169358798051451
household_1,2010-11-27 00:00:00,3,ML,ridge_regression,0.5600627794998055
household_1,2010-11-27 01:00:00,4,ML,ridge_regression,0.520296253170347
household_1,2010-11-27 02:00:00,5,ML,ridge_regression,0.5173284530741207
household_1,2010-11-27 03:00:00,6,ML,ridge_regression,0.5188087938354851
household_1,2010-11-27 04:00:00,7,ML,ridge_regression,0.5077503187376732
household_1,2010-11-27 05:00:00,8,ML,ridge_regression,0.644706781766006
household_1,2010-11-27 06:00:00,9,ML,ridge_regression,0.899301867430981
household_1,2010-11-27 07:00:00,10,ML,ridge_regression,1.7390493039429513
household_1,2010-11-27 08:00:00,11,ML,ridge_regression,1.8811932362086599
household_1,2010-11-27 09:00:00,12,ML,ridge_regression,1.837849243730676
household_1,2010-11-27 10:00:00,13,ML,ridge_regression,1.6402320291183083
household_1,2010-11-27 11:00:00,14,ML,ridge_regression,1.743680325626167
household_1,2010-11-27 12:00:00,15,ML,ridge_regression,1.612270372716215
household_1,2010-11-27 13:00:00,16,ML,ridge_regression,1.5708362725356007
household_1,2010-11-27 14:00:00,17,ML,ridge_regression,1.5046834374955809
household_1,2010-11-27 15:00:00,18,ML,ridge_regression,1.4112315238513218
household_1,2010-11-27 16:00:00,19,ML,ridge_regression,1.3744833364165299
household_1,2010-11-27 17:00:00,20,ML,ridge_regression,1.59684070544622
household_1,2010-11-27 18:00:00,21,ML,ridge_regression,2.274153324938138
household_1,2010-11-27 19:00:00,22,ML,ridge_regression,2.316338839488726
household_1,2010-11-27 20:00:00,23,ML,ridge_regression,2.0971021648884816
household_1,2010-11-27 21:00:00,24,ML,ridge_regression,1.8051292684382143
household_1,2010-11-26 22:00:00,1,ML,random_forest,0.866699456936068
household_1,2010-11-26 23:00:00,2,ML,random_forest,0.6549367482218703
household_1,2010-11-27 00:00:00,3,ML,random_forest,0.42148440393703457
household_1,2010-11-27 01:00:00,4,ML,random_forest,0.47280909625685796
household_1,2010-11-27 02:00:00,5,ML,random_forest,0.5267086653865511
household_1,2010-11-27 03:00:00,6,ML,random_forest,0.4560653718163188
household_1,2010-11-27 04:00:00,7,ML,random_forest,0.49032489628820275
household_1,2010-11-27 05:00:00,8,ML,random_forest,0.5138895289266612
household_1,2010-11-27 06:00:00,9,ML,random_forest,0.860741938835367
household_1,2010-11-27 07:00:00,10,ML,random_forest,2.2983848533011857
household_1,2010-11-27 08:00:00,11,ML,random_forest,1.9095231693440011
household_1,2010-11-27 09:00:00,12,ML,random_forest,1.697328722339739
household_1,2010-11-27 10:00:00,13,ML,random_forest,1.638197957871102
household_1,2010-11-27 11:00:00,14,ML,random_forest,1.7014602236842349
household_1,2010-11-27 12:00:00,15,ML,random_forest,1.6019091529634675
household_1,2010-11-27 13:00:00,16,ML,random_forest,1.5298361349475313
household_1,2010-11-27 14:00:00,17,ML,random_forest,1.4383713394119113
household_1,2010-11-27 15:00:00,18,ML,random_forest,1.300573947573309
household_1,2010-11-27 16:00:00,19,ML,random_forest,1.1501576211522542
household_1,2010-11-27 17:00:00,20,ML,random_forest,1.4175240022368323
household_1,2010-11-27 18:00:00,21,ML,random_forest,1.7441901874795296
household_1,2010-11-27 19:00:00,22,ML,random_forest,2.1502785352241185
household_1,2010-11-27 20:00:00,23,ML,random_forest,2.257952824025648
household_1,2010-11-27 21:00:00,24,ML,random_forest,1.9407346016169678
household_1,2010-11-26 22:00:00,1,ML,hist_gradient_boosting,0.818101488116764
household_1,2010-11-26 23:00:00,2,ML,hist_gradient_boosting,0.6494458244455856
household_1,2010-11-27 00:00:00,3,ML,hist_gradient_boosting,0.5187044948568192
household_1,2010-11-27 01:00:00,4,ML,hist_gradient_boosting,0.4774723237851353
household_1,2010-11-27 02:00:00,5,ML,hist_gradient_boosting,0.4899201594373757
household_1,2010-11-27 03:00:00,6,ML,hist_gradient_boosting,0.511414023800458
household_1,2010-11-27 04:00:00,7,ML,hist_gradient_boosting,0.5420254047749025
household_1,2010-11-27 05:00:00,8,ML,hist_gradient_boosting,0.5707988413485692
household_1,2010-11-27 06:00:00,9,ML,hist_gradient_boosting,0.9039194669850714
household_1,2010-11-27 07:00:00,10,ML,hist_gradient_boosting,2.2807427533003453
household_1,2010-11-27 08:00:00,11,ML,hist_gradient_boosting,1.8403028106122759
household_1,2010-11-27 09:00:00,12,ML,hist_gradient_boosting,1.7008506445371816
household_1,2010-11-27 10:00:00,13,ML,hist_gradient_boosting,1.6552918821245073
household_1,2010-11-27 11:00:00,14,ML,hist_gradient_boosting,1.7661070378933943
household_1,2010-11-27 12:00:00,15,ML,hist_gradient_boosting,1.6252051895221047
household_1,2010-11-27 13:00:00,16,ML,hist_gradient_boosting,1.480612515703543
household_1,2010-11-27 14:00:00,17,ML,hist_gradient_boosting,1.3985774899869245
household_1,2010-11-27 15:00:00,18,ML,hist_gradient_boosting,1.2474121948921477
household_1,2010-11-27 16:00:00,19,ML,hist_gradient_boosting,1.1538723095600882
household_1,2010-11-27 17:00:00,20,ML,hist_gradient_boosting,1.4473875946946901
household_1,2010-11-27 18:00:00,21,ML,hist_gradient_boosting,1.6950839879613737
household_1,2010-11-27 19:00:00,22,ML,hist_gradient_boosting,1.9846897471149068
household_1,2010-11-27 20:00:00,23,ML,hist_gradient_boosting,2.016433545435441
household_1,2010-11-27 21:00:00,24,ML,hist_gradient_boosting,1.8265542178038359
