rank,model,mae,rmse,mape,smape,mase,group
1,seasonal_window_average,0.3305925925925925,0.4246184083864221,41.31565379773976,32.467822209496525,0.5172334558092258,statistical
2,seasonal_naive_168,0.3494458333333333,0.4966064206546761,42.445329892851305,35.41895004845788,0.5467289535596601,statistical
3,nbeats,0.3503416409371075,0.4421341146265643,42.63600745804767,35.70254046604301,0.6140542664660371,DL
4,random_forest,0.3420989408447851,0.4300026996651254,48.38239298796041,35.865507149064285,0.5352327603224518,ML
5,hist_gradient_boosting,0.3769145450338922,0.4768640806652373,51.39500529514277,37.204386101108646,0.589710910146734,ML
6,neural_mlp,0.3517999922173994,0.4536006980832798,39.19794666194053,37.93482231290908,0.6165596792646004,DL
7,ridge_regression,0.4055661165389931,0.5286080193352353,53.83892827342047,39.01936870726536,0.6345305729961644,ML
8,nhits,0.3809969934121326,0.4735810328457837,55.27226702278952,39.6782108639289,0.6677658483049486,DL
9,auto_ets,0.3969274679745468,0.4916656222029176,55.33389665878007,40.802011792529946,0.6210202232091021,statistical
10,auto_theta,0.4028814559903252,0.4948777693311528,52.28072013731546,41.170371654231225,0.6303385217065265,statistical
11,manual_theta_24,0.4030835531617224,0.4949457085260866,52.28436222617336,41.19037796815447,0.6306548821818776,statistical
12,seasonal_naive_24,0.4411231481481481,0.5821918981094895,57.6933782167977,44.45575387902787,0.6901815994064043,statistical
13,manual_ets_additive,0.4191816470552971,0.5185541174251793,47.92491576876398,44.66410977744832,0.6558500030969041,statistical
14,auto_arima,0.4233854250568395,0.5092487225270891,73.2767357148689,45.28950724365541,0.6624167642362769,statistical
15,window_average_168,0.6003239142416226,0.7019239467308643,102.09915255526064,58.76449914118936,0.939236100220869,statistical
16,manual_arima,0.6168995782308192,0.7203541492621413,109.0453117313915,59.53854543497452,0.9651696524042028,statistical
17,naive,0.6523615740740741,0.7792602954133372,133.70390277000013,59.8480118449601,1.0206626110383017,statistical
18,drift,0.6531361091216404,0.7803511863441104,134.04915410205206,59.86691872207001,1.0218746256428397,statistical
